,model_name,Accuracy,F1,Loss,Precision,Recall
0,3D CNN,0.9004365053866527,0.693469555261766,0.2344215800356317,0.7429967147970689,1.0
1,3D ResNet,0.9836917365144284,0.9555431615274138,0.04001286504206148,0.9519595430236519,0.9672402940318459
